nncp compress: input bytes=51797434 model dim=256 depth=4 heads=8
num_params_M: 3.483136
nncp compress: bytes=51797434 ctx=1024 slide=768 train_every=256 train_batch=8 train_seq=256
/home/andrew/Developer/a-compressed-world/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:869: UserWarning: Memory Efficient attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/attention_backward.cu:900.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
step 233472 bytes 233472 bits 1339248 bpb 5.7362 window_bpb 5.8545 elapsed 314.7s
step 234496 bytes 234496 bits 1345098 bpb 5.7361 window_bpb 5.7129 elapsed 316.0s
step 235520 bytes 235520 bits 1351049 bpb 5.7365 window_bpb 5.8115 elapsed 317.4s
step 236544 bytes 236544 bits 1357071 bpb 5.7371 window_bpb 5.8809 elapsed 318.8s
step 237568 bytes 237568 bits 1362879 bpb 5.7368 window_bpb 5.6719 elapsed 320.2s
step 238592 bytes 238592 bits 1368803 bpb 5.7370 window_bpb 5.7852 elapsed 321.5s
step 239616 bytes 239616 bits 1374593 bpb 5.7366 window_bpb 5.6543 elapsed 322.9s
step 240640 bytes 240640 bits 1380339 bpb 5.7361 window_bpb 5.6113 elapsed 324.3s
step 241664 bytes 241664 bits 1386243 bpb 5.7362 window_bpb 5.7656 elapsed 325.6s
step 242688 bytes 242688 bits 1391921 bpb 5.7354 window_bpb 5.5449 elapsed 327.0s
step 243712 bytes 243712 bits 1397686 bpb 5.7350 window_bpb 5.6299 elapsed 328.4s
step 244736 bytes 244736 bits 1403497 bpb 5.7347 window_bpb 5.6748 elapsed 329.8s
step 245760 bytes 245760 bits 1409421 bpb 5.7349 window_bpb 5.7852 elapsed 331.1s
step 246784 bytes 246784 bits 1415407 bpb 5.7354 window_bpb 5.8457 elapsed 332.5s
step 247808 bytes 247808 bits 1421312 bpb 5.7355 window_bpb 5.7666 elapsed 333.9s
step 248832 bytes 248832 bits 1427221 bpb 5.7357 window_bpb 5.7705 elapsed 335.2s
step 249856 bytes 249856 bits 1433005 bpb 5.7353 window_bpb 5.6484 elapsed 336.6s
step 250880 bytes 250880 bits 1438742 bpb 5.7348 window_bpb 5.6025 elapsed 338.0s
step 251904 bytes 251904 bits 1444397 bpb 5.7339 window_bpb 5.5225 elapsed 339.4s
step 252928 bytes 252928 bits 1450253 bpb 5.7339 window_bpb 5.7188 elapsed 340.7s
step 253952 bytes 253952 bits 1455876 bpb 5.7329 window_bpb 5.4912 elapsed 342.1s
